iter	Passed	Remaining
0	149	74454
1	158	39434
2	167	27712
3	177	21990
4	188	18629
5	198	16375
6	209	14759
7	222	13654
8	233	12738
9	245	12021
10	258	11480
11	274	11161
12	285	10702
13	297	10322
14	308	9985
15	320	9684
16	330	9394
17	341	9157
18	352	8923
19	362	8703
20	372	8505
21	383	8323
22	393	8151
23	403	7993
24	413	7848
25	423	7713
26	433	7591
27	443	7481
28	453	7370
29	465	7293
30	476	7204
31	486	7110
32	496	7025
33	507	6952
34	517	6879
35	528	6806
36	538	6734
37	548	6670
38	558	6599
39	570	6558
40	582	6516
41	592	6459
42	603	6413
43	614	6369
44	626	6338
45	638	6297
46	648	6252
47	659	6211
48	670	6172
49	681	6133
50	692	6095
51	705	6075
52	717	6052
53	730	6032
54	741	6001
55	752	5967
56	763	5935
57	774	5905
58	786	5875
59	796	5841
60	807	5811
61	817	5775
62	827	5742
63	837	5707
64	847	5671
65	857	5638
66	867	5609
67	878	5580
68	889	5553
69	899	5526
70	910	5500
71	920	5472
72	931	5448
73	942	5425
74	952	5399
75	963	5375
76	975	5357
77	988	5345
78	999	5326
79	1010	5307
80	1022	5290
81	1034	5273
82	1046	5257
83	1058	5241
84	1070	5224
85	1080	5201
86	1091	5181
87	1102	5160
88	1113	5140
89	1123	5119
90	1134	5099
91	1145	5078
92	1155	5058
93	1165	5035
94	1174	5005
95	1184	4982
96	1193	4959
97	1203	4936
98	1214	4918
99	1224	4898
100	1234	4878
101	1245	4858
102	1255	4837
103	1265	4818
104	1276	4801
105	1286	4782
106	1296	4761
107	1307	4743
108	1316	4723
109	1326	4704
110	1336	4684
111	1346	4664
112	1356	4645
113	1366	4628
114	1377	4611
115	1388	4594
116	1398	4579
117	1409	4562
118	1419	4544
119	1430	4528
120	1441	4514
121	1451	4497
122	1461	4480
123	1472	4463
124	1482	4447
125	1493	4432
126	1504	4417
127	1514	4402
128	1525	4386
129	1536	4372
130	1546	4356
131	1557	4341
132	1567	4325
133	1577	4308
134	1587	4292
135	1597	4275
136	1607	4258
137	1617	4242
138	1625	4222
139	1635	4204
140	1645	4188
141	1655	4172
142	1664	4156
143	1674	4139
144	1684	4124
145	1694	4108
146	1704	4093
147	1714	4077
148	1725	4063
149	1735	4048
150	1745	4033
151	1755	4019
152	1766	4006
153	1776	3992
154	1787	3977
155	1797	3963
156	1808	3949
157	1818	3936
158	1828	3921
159	1838	3907
160	1848	3892
161	1858	3878
162	1868	3863
163	1878	3849
164	1891	3840
165	1901	3826
166	1911	3811
167	1921	3797
168	1931	3783
169	1943	3772
170	1953	3758
171	1963	3745
172	1974	3732
173	1984	3717
174	1995	3706
175	2006	3694
176	2016	3680
177	2026	3666
178	2036	3652
179	2046	3638
180	2055	3622
181	2065	3608
182	2075	3595
183	2085	3581
184	2095	3567
185	2104	3553
186	2114	3539
187	2124	3525
188	2133	3511
189	2143	3498
190	2155	3486
191	2166	3475
192	2177	3464
193	2188	3452
194	2200	3441
195	2211	3429
196	2221	3416
197	2232	3405
198	2242	3392
199	2253	3380
200	2264	3368
201	2275	3356
202	2285	3344
203	2297	3332
204	2307	3320
205	2318	3308
206	2328	3296
207	2339	3283
208	2349	3271
209	2359	3258
210	2370	3246
211	2380	3234
212	2390	3221
213	2400	3208
214	2410	3195
215	2420	3182
216	2430	3169
217	2440	3156
218	2450	3144
219	2460	3131
220	2470	3118
221	2480	3106
222	2491	3094
223	2502	3083
224	2514	3073
225	2525	3061
226	2535	3049
227	2545	3037
228	2557	3026
229	2569	3015
230	2579	3004
231	2590	2992
232	2601	2980
233	2609	2966
234	2620	2955
235	2631	2944
236	2641	2931
237	2652	2920
238	2663	2908
239	2674	2897
240	2685	2885
241	2697	2875
242	2711	2867
243	2723	2857
244	2735	2847
245	2748	2838
246	2761	2828
247	2774	2818
248	2786	2808
249	2798	2798
250	2810	2787
251	2822	2777
252	2835	2767
253	2848	2758
254	2859	2747
255	2871	2737
256	2886	2729
257	2899	2719
258	2915	2712
259	2928	2703
260	2941	2693
261	2956	2685
262	2969	2676
263	2983	2666
264	2995	2656
265	3009	2647
266	3021	2636
267	3033	2626
268	3046	2615
269	3057	2604
270	3069	2594
271	3081	2582
272	3092	2571
273	3104	2560
274	3116	2549
275	3127	2538
276	3138	2526
277	3149	2515
278	3160	2503
279	3171	2492
280	3183	2480
281	3194	2469
282	3205	2457
283	3216	2446
284	3227	2434
285	3237	2422
286	3249	2411
287	3265	2403
288	3277	2392
289	3289	2381
290	3301	2371
291	3314	2360
292	3326	2350
293	3339	2340
294	3352	2329
295	3364	2318
296	3376	2307
297	3388	2296
298	3400	2285
299	3412	2275
300	3425	2264
301	3437	2253
302	3449	2243
303	3462	2232
304	3473	2220
305	3484	2209
306	3495	2197
307	3508	2187
308	3519	2175
309	3530	2164
310	3541	2152
311	3553	2141
312	3564	2129
313	3576	2118
314	3586	2106
315	3597	2094
316	3608	2083
317	3618	2071
318	3629	2059
319	3640	2047
320	3651	2035
321	3662	2024
322	3672	2012
323	3682	2000
324	3694	1989
325	3707	1978
326	3720	1968
327	3732	1957
328	3746	1947
329	3762	1938
330	3776	1928
331	3789	1917
332	3804	1908
333	3818	1898
334	3832	1887
335	3845	1877
336	3860	1867
337	3874	1857
338	3888	1846
339	3903	1836
340	3917	1826
341	3932	1816
342	3946	1806
343	3959	1795
344	3974	1785
345	3986	1774
346	3999	1763
347	4013	1752
348	4024	1741
349	4037	1730
350	4048	1718
351	4060	1707
352	4071	1695
353	4083	1684
354	4096	1673
355	4107	1661
356	4120	1650
357	4131	1638
358	4143	1627
359	4154	1615
360	4166	1604
361	4177	1592
362	4188	1580
363	4200	1569
364	4211	1557
365	4222	1545
366	4233	1534
367	4243	1522
368	4254	1510
369	4266	1499
370	4278	1487
371	4295	1477
372	4308	1466
373	4320	1455
374	4331	1443
375	4342	1431
376	4353	1420
377	4364	1408
378	4374	1396
379	4386	1385
380	4397	1373
381	4410	1362
382	4421	1350
383	4432	1339
384	4443	1327
385	4454	1315
386	4465	1303
387	4477	1292
388	4489	1281
389	4500	1269
390	4511	1257
391	4522	1246
392	4534	1234
393	4546	1223
394	4557	1211
395	4569	1200
396	4583	1189
397	4595	1177
398	4606	1166
399	4619	1154
400	4631	1143
401	4643	1131
402	4655	1120
403	4667	1109
404	4679	1097
405	4690	1085
406	4700	1074
407	4712	1062
408	4736	1053
409	4746	1041
410	4757	1030
411	4768	1018
412	4780	1006
413	4792	995
414	4803	983
415	4814	972
416	4826	960
417	4837	948
418	4848	937
419	4860	925
420	4871	914
421	4883	902
422	4894	890
423	4907	879
424	4919	868
425	4931	856
426	4942	844
427	4954	833
428	4965	821
429	4976	810
430	4987	798
431	4998	786
432	5009	775
433	5021	763
434	5032	751
435	5043	740
436	5056	728
437	5067	717
438	5078	705
439	5090	694
440	5103	682
441	5115	671
442	5127	659
443	5139	648
444	5152	636
445	5164	625
446	5176	613
447	5187	602
448	5198	590
449	5210	578
450	5221	567
451	5232	555
452	5242	543
453	5255	532
454	5266	520
455	5276	509
456	5286	497
457	5297	485
458	5308	474
459	5319	462
460	5331	451
461	5342	439
462	5352	427
463	5363	416
464	5374	404
465	5386	392
466	5397	381
467	5409	369
468	5420	358
469	5431	346
470	5443	335
471	5454	323
472	5465	312
473	5477	300
474	5489	288
475	5500	277
476	5513	265
477	5526	254
478	5537	242
479	5548	231
480	5559	219
481	5571	208
482	5583	196
483	5594	184
484	5605	173
485	5616	161
486	5627	150
487	5641	138
488	5652	127
489	5664	115
490	5677	104
491	5688	92
492	5700	80
493	5712	69
494	5724	57
495	5736	46
496	5748	34
497	5760	23
498	5772	11
499	5784	0
