iter	Passed	Remaining
0	8	2635
1	16	2444
2	25	2494
3	33	2493
4	42	2487
5	50	2482
6	59	2503
7	68	2495
8	76	2487
9	85	2490
10	93	2453
11	101	2427
12	109	2411
13	118	2418
14	126	2411
15	135	2400
16	143	2384
17	152	2382
18	160	2372
19	168	2360
20	177	2354
21	185	2340
22	193	2327
23	201	2314
24	209	2306
25	217	2296
26	226	2292
27	235	2286
28	244	2281
29	252	2273
30	260	2263
31	269	2259
32	278	2254
33	287	2248
34	297	2250
35	306	2247
36	315	2245
37	325	2242
38	334	2238
39	344	2237
40	353	2234
41	363	2233
42	372	2228
43	382	2223
44	391	2217
45	400	2211
46	410	2208
47	419	2203
48	429	2198
49	438	2190
50	446	2180
51	455	2172
52	463	2161
53	472	2152
54	481	2142
55	489	2134
56	498	2124
57	506	2113
58	514	2102
59	523	2094
60	533	2088
61	543	2087
62	553	2082
63	563	2076
64	572	2068
65	581	2060
66	590	2052
67	599	2045
68	609	2040
69	618	2031
70	627	2023
71	636	2016
72	645	2008
73	655	2003
74	665	1995
75	674	1988
76	683	1978
77	691	1969
78	700	1959
79	708	1948
80	717	1938
81	726	1930
82	734	1920
83	742	1910
84	751	1900
85	759	1889
86	768	1881
87	777	1872
88	785	1862
89	795	1855
90	803	1845
91	812	1836
92	821	1827
93	829	1818
94	838	1810
95	847	1800
96	856	1792
97	865	1784
98	874	1774
99	882	1765
100	891	1756
101	899	1746
102	908	1737
103	918	1730
104	927	1723
105	936	1714
106	946	1706
107	955	1698
108	964	1690
109	973	1682
110	983	1674
111	993	1667
112	1002	1659
113	1012	1651
114	1021	1643
115	1031	1635
116	1041	1628
117	1050	1620
118	1060	1612
119	1069	1604
120	1078	1594
121	1087	1586
122	1095	1576
123	1104	1567
124	1112	1557
125	1121	1548
126	1129	1538
127	1137	1528
128	1146	1519
129	1154	1510
130	1163	1500
131	1171	1491
132	1180	1482
133	1189	1474
134	1199	1466
135	1208	1457
136	1218	1449
137	1227	1440
138	1236	1432
139	1245	1423
140	1254	1415
141	1264	1407
142	1274	1398
143	1283	1390
144	1293	1382
145	1303	1375
146	1312	1366
147	1322	1357
148	1331	1349
149	1339	1339
150	1348	1330
151	1356	1321
152	1365	1311
153	1373	1302
154	1382	1292
155	1389	1282
156	1398	1273
157	1406	1264
158	1415	1255
159	1424	1246
160	1432	1236
161	1441	1227
162	1449	1218
163	1458	1209
164	1466	1200
165	1475	1190
166	1484	1182
167	1493	1173
168	1502	1164
169	1511	1155
170	1520	1147
171	1531	1139
172	1541	1131
173	1550	1122
174	1559	1113
175	1568	1105
176	1578	1096
177	1587	1088
178	1598	1080
179	1608	1072
180	1618	1064
181	1628	1055
182	1638	1047
183	1647	1038
184	1657	1030
185	1666	1021
186	1676	1013
187	1686	1004
188	1695	995
189	1704	986
190	1712	977
191	1722	968
192	1732	960
193	1740	950
194	1749	942
195	1759	933
196	1771	925
197	1781	917
198	1791	909
199	1801	900
200	1812	892
201	1824	885
202	1834	876
203	1844	868
204	1853	859
205	1863	850
206	1873	841
207	1884	833
208	1894	824
209	1903	815
210	1912	806
211	1922	797
212	1932	789
213	1941	780
214	1951	771
215	1960	762
216	1969	753
217	1978	744
218	1986	734
219	1995	725
220	2003	716
221	2012	707
222	2021	697
223	2029	688
224	2038	679
225	2046	670
226	2055	660
227	2063	651
228	2073	642
229	2083	634
230	2092	625
231	2101	616
232	2110	607
233	2120	598
234	2129	589
235	2140	580
236	2150	571
237	2159	562
238	2169	553
239	2180	545
240	2189	536
241	2200	527
242	2210	518
243	2220	509
244	2229	500
245	2238	491
246	2246	482
247	2256	473
248	2265	463
249	2274	454
250	2283	445
251	2291	436
252	2300	427
253	2309	418
254	2317	408
255	2326	399
256	2335	390
257	2343	381
258	2352	372
259	2360	363
260	2369	354
261	2378	344
262	2387	335
263	2396	326
264	2405	317
265	2415	308
266	2424	299
267	2434	290
268	2443	281
269	2453	272
270	2462	263
271	2472	254
272	2481	245
273	2491	236
274	2501	227
275	2511	218
276	2521	209
277	2531	200
278	2540	191
279	2549	182
280	2558	172
281	2567	163
282	2575	154
283	2584	145
284	2592	136
285	2601	127
286	2610	118
287	2619	109
288	2627	100
289	2636	90
290	2644	81
291	2653	72
292	2662	63
293	2670	54
294	2679	45
295	2688	36
296	2696	27
297	2705	18
298	2715	9
299	2725	0
